id,event_id,minute,second,team_id_x,player_id,x,y,end_x,end_y,qualifiers,is_touch,blocked_x,blocked_y,goal_mouth_z,goal_mouth_y,is_shot,is_goal,type_display_name,outcome_type_display_name,period_display_name,team_id_y,shirt_no,name,position,age,MOTM,team
2689476405,3,0,0.0,256,328987,50.0,50.0,31.1,58.9,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '31.1'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.85'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '58.9'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '20.7'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]",True,,,,,False,False,Pass,Successful,FirstHalf,256,10,Calvin Stengs,AMC,25,False,Feyenoord
2689476421,4,0,2.0,256,362779,31.1,58.9,34.9,76.3,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '12.5'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '76.3'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.25'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '34.9'}]",True,,,,,False,False,Pass,Successful,FirstHalf,256,33,Dávid Hancko,DC,26,False,Feyenoord
2689476445,5,0,5.0,256,371042,38.5,75.8,46.0,57.9,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '57.9'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.29'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '14.5'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '46.0'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]",True,,,,,False,False,Pass,Successful,FirstHalf,256,15,Marcos López,DL,24,False,Feyenoord
2689476477,6,0,6.0,256,361695,45.0,57.7,31.9,62.9,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '62.9'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.89'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '31.9'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '14.2'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]",True,,,,,False,False,Pass,Successful,FirstHalf,256,16,Thomas van den Belt,DMC,22,False,Feyenoord
2689476501,7,0,7.0,256,362779,31.9,62.9,34.3,35.1,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '19.1'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.84'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '35.1'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '34.3'}]",True,,,,,False,False,Pass,Successful,FirstHalf,256,33,Dávid Hancko,DC,26,False,Feyenoord
2689476517,8,0,10.0,256,384574,34.3,35.1,39.9,11.3,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '39.9'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.06'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '11.3'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '17.2'}]",True,,,,,False,False,Pass,Successful,FirstHalf,256,18,Gernot Trauner,DC,32,True,Feyenoord
2689476557,9,0,12.0,256,345441,39.9,11.3,59.7,12.1,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '59.7'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '20.8'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.03'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '12.1'}]",True,,,,,False,False,Pass,Successful,FirstHalf,256,4,Lutsharel Geertruida,DR,23,False,Feyenoord
2689476593,10,0,17.0,256,328987,58.1,2.5,47.0,29.0,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.14'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '29.0'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '47.0'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '21.5'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]",True,,,,,False,False,Pass,Successful,FirstHalf,256,10,Calvin Stengs,AMC,25,False,Feyenoord
2689476621,11,0,19.0,256,379701,47.0,29.0,52.0,69.6,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '69.6'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.38'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '28.1'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '52.0'}]",True,,,,,False,False,Pass,Successful,FirstHalf,256,6,Ramiz Zerrouki,DMC,26,False,Feyenoord
2689476647,12,0,22.0,256,371042,53.6,78.3,71.5,75.5,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '75.5'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '18.9'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '71.5'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '6.18'}]",True,,,,,False,False,Pass,Successful,FirstHalf,256,15,Marcos López,DL,24,False,Feyenoord
